City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,afaahiti,-17.75,-149.2833,296.08,66,55,8.11,PF,1689869222
183,nadym,65.5333,72.5167,296.94,59,71,3.57,RU,1689869223
184,lazaro cardenas,17.9583,-102.2,301.97,74,99,1.79,MX,1689869113
185,kirakira,-10.4544,161.9205,299.35,88,100,1.9,SB,1689869223
186,sabang,5.8933,95.3214,302.16,74,52,10.78,ID,1689869223
187,nizhniy kuranakh,58.8353,125.4869,284.38,96,100,1.5,RU,1689869224
188,senador jose porfirio,-2.5908,-51.9542,305.05,51,15,0.68,BR,1689869224
189,badger,64.8,-147.5333,290.1,94,100,1.54,US,1689869120
190,al kharijah,25.4514,30.5464,314.43,10,0,1.97,EG,1689869225
191,glendive,47.1053,-104.7125,295.94,49,0,1.54,US,1689869225
192,carutapera,-1.195,-46.02,303.53,58,13,3.65,BR,1689869111
193,bamboo flat,11.7,92.7167,301.2,89,75,5.66,IN,1689868965
194,tamanrasset,22.785,5.5228,309.1,8,40,3.09,DZ,1689869226
195,shenjiamen,29.9576,122.298,298.98,93,96,3.36,CN,1689869226
196,puerto ayora,-0.7393,-90.3518,302.13,91,72,1.79,EC,1689869096
197,aasiaat,68.7098,-52.8699,276.64,99,100,4.13,GL,1689868907
198,benghazi,32.1167,20.0667,302.78,67,0,5.44,LY,1689869232
199,mulanur,10.7667,77.7167,299.81,63,58,11.83,IN,1689869232
200,camana,-16.6228,-72.7111,292.9,69,8,3.27,PE,1689869232
201,montevallo,33.1007,-86.8642,307.47,77,20,2.06,US,1689869233
202,dzhambeyty,50.2536,52.595,296.54,40,11,2.41,KZ,1689869233
203,goundam,16.4145,-3.6708,313.19,23,10,7.67,ML,1689869233
204,midland,31.9974,-102.0779,305.96,47,0,6.69,US,1689869234
205,takum,7.2667,9.9833,301.66,75,84,2.73,NG,1689869234
206,kodiak,57.79,-152.4072,283.88,100,75,1.54,US,1689869129
207,mount pearl,47.5166,-52.7813,301.66,77,76,4.92,CA,1689869234
208,constantia,44.1833,28.65,304.53,59,39,6.15,RO,1689869235
209,fort bragg,35.139,-79.006,306.38,60,0,3.09,US,1689868931
210,nar'yan-mar,67.6713,53.087,289.23,82,100,7.45,RU,1689869235
211,tolmezzo,46.4075,13.0175,303.38,77,99,0.66,IT,1689869236
212,udachny,66.4167,112.4,289.07,62,100,1.65,RU,1689869127
213,aykhal,66.0,111.5,287.37,80,100,3.74,RU,1689869236
214,utrik,11.2278,169.8474,301.42,78,100,7.5,MH,1689868863
215,el bolson,-41.9667,-71.5167,280.47,99,100,2.24,AR,1689869237
216,diego de almagro,-26.3667,-70.05,299.14,9,89,1.81,CL,1689869237
217,sao miguel do araguaia,-13.275,-50.1628,307.39,17,31,6.06,BR,1689869019
218,mata-utu,-13.2816,-176.1745,300.32,82,70,4.54,WF,1689868958
219,sao raimundo nonato,-9.0153,-42.6994,304.14,23,1,5.6,BR,1689869238
220,petrolina,-9.3986,-40.5008,303.18,30,40,7.2,BR,1689869238
221,hola,51.5377,23.1902,293.25,80,74,0.5,PL,1689869238
222,usogorsk,63.4106,48.6872,290.88,96,93,3.71,RU,1689869030
223,whitehorse,60.7161,-135.0538,287.65,61,75,1.03,CA,1689868844
224,wagar,16.1525,36.2032,311.44,25,94,1.99,SD,1689869239
225,port lincoln,-34.7333,135.8667,284.94,62,71,3.23,AU,1689869039
226,huarmey,-10.0681,-78.1522,295.75,68,21,3.75,PE,1689869054
227,fauske,67.2588,15.3918,289.79,72,94,0.87,NO,1689869240
228,cartagena,10.3997,-75.5144,308.94,56,0,3.09,CO,1689869201
229,ta`u,-14.2336,-169.5144,299.38,79,100,9.97,AS,1689869240
